Date,Open,High,Low,Close,Adj Close,Volume
24-02-2023,524.200012,527.5,517.599976,521.049988,511.117676,12253035
27-02-2023,521.099976,529.799988,519,527.700012,517.64093,11048799
28-02-2023,527.25,528.450012,521.049988,522.799988,512.834351,15768010
01-03-2023,523.25,537.400024,523.099976,536.700012,526.46936,13510198
02-03-2023,535.950012,539.900024,532.5,533.75,523.575623,10376913
03-03-2023,542,564.299988,541.75,561.200012,550.50238,27656538
06-03-2023,564.900024,567.900024,559,561.700012,550.992859,16162268
08-03-2023,560,565.5,556.450012,564.799988,554.033691,12637578
09-03-2023,564.75,565.75,558,558.900024,548.246216,8993423
10-03-2023,553.099976,554.950012,545,547.349976,536.916321,11522371
13-03-2023,547,553.150024,528.450012,530,519.897095,14373729
14-03-2023,527.650024,532.799988,520,525.400024,515.384766,14750800
15-03-2023,529.799988,532,515.549988,517.549988,507.684387,11282329
16-03-2023,518.400024,529.349976,514.299988,524.5,514.501953,20040008
17-03-2023,528.650024,531.599976,520.099976,529.799988,519.700867,18787379
20-03-2023,526.599976,526.599976,515,519.200012,509.302979,14275315
21-03-2023,522,523.450012,516.450012,521.849976,511.902405,29485180
22-03-2023,522.200012,527,520.099976,521.549988,511.608154,11619538
23-03-2023,519.400024,521,511.5,512.75,502.975922,22097792
24-03-2023,514.5,514.950012,503.450012,505.350006,495.71698,14416984
27-03-2023,507,514.150024,501.549988,510.149994,500.425476,15674218
28-03-2023,511.450012,511.75,503.850006,508.100006,498.414551,15833599
29-03-2023,509,518,506.299988,516.5,506.654419,24203789
31-03-2023,520.650024,524.900024,519.349976,523.75,513.766235,17356345
03-04-2023,524.75,528.5,522.099976,526.75,516.709045,14210949
05-04-2023,527,527.599976,519.049988,523,513.030518,13574801
06-04-2023,524,533.700012,521.650024,527.650024,517.591919,25125879
10-04-2023,529.25,530.400024,524.400024,526.299988,516.267578,17335453
11-04-2023,530.849976,535.700012,527.150024,532.099976,521.957031,26414406
12-04-2023,533.200012,534,526,528.200012,518.131409,21292441
13-04-2023,529.299988,534.25,527.150024,532.950012,522.790894,28597560
17-04-2023,528,545,528,544,533.630188,32476990
18-04-2023,545.349976,548.5,540.5,545.849976,535.444946,22283456
19-04-2023,544,547.5,538.25,540.299988,530.000732,21156372
20-04-2023,541.200012,545.450012,536.650024,544.799988,534.414978,25588577
21-04-2023,545,546.400024,539.700012,543.150024,532.796448,22599418
24-04-2023,543.799988,555.549988,543.5,554.599976,544.028137,23335611
25-04-2023,555,567.900024,555,561.799988,551.090881,38142390
26-04-2023,562,567,556.450012,566.349976,555.554138,23143882
27-04-2023,565,567.400024,561.099976,564.75,553.98468,17845169
28-04-2023,567.799988,580.450012,565.5,578.299988,567.276367,16183423
02-05-2023,580,580.849976,573.150024,575.299988,564.333557,13667511
03-05-2023,570.650024,575,569,570.5,559.625061,9699527
04-05-2023,570.200012,580.799988,568.5,580,568.94397,12533761
05-05-2023,580.200012,588.25,575.049988,576.5,565.510681,18163461
